Senador(a),Filiação,Ponto Ideal
Alan Franken,Democratas,-0.24305810034275055
Amy Klobuchar,Democratas,-0.40867388248443604
Angus King,Independente,-0.04715777188539505
Barbara Boxer,Democratas,-0.3693420886993408
Barbara Mikulski,Democratas,-0.2882884442806244
Benjamin Cardin,Democratas,-0.1951245814561844
Benjamin Sasse,Republicanos,0.255817174911499
Bernard Sanders,Independente,-0.7190892100334167
Bill Cassidy,Republicanos,0.1372544914484024
Bill Nelson,Democratas,-0.17068718373775482
Bob Corker,Republicanos,0.11523276567459106
Brian Schatz,Democratas,-0.15969964861869812
Charles Grassley,Republicanos,0.3898482322692871
Charles Schumer,Democratas,-0.19421157240867615
Chris Coons,Democratas,-0.26558369398117065
Christopher Murphy,Democratas,-0.3901110291481018
Claire Mccaskill,Democratas,-0.08825235068798065
Cory Booker,Democratas,-0.3234628438949585
Cory Gardner,Republicanos,0.2893909215927124
Dan Sullivan,Republicanos,0.4344090223312378
Daniel Coats,Republicanos,0.4534161686897278
David Perdue,Republicanos,0.3578886389732361
David Vitter,Republicanos,0.23195448517799377
Dean Heller,Republicanos,0.39912745356559753
Deb Fischer,Republicanos,0.23359791934490204
Debbie Stabenow,Democratas,-0.31478404998779297
Dianne Feinstein,Democratas,-0.02335651032626629
Edward Markey,Democratas,-0.49835941195487976
Elizabeth Warren,Democratas,-0.4684409499168396
Gary Peters,Democratas,-0.25372248888015747
Harry Reid,Democratas,-0.3171267509460449
Heidi Heitkamp,Democratas,-0.07283464074134827
James Inhofe,Republicanos,0.28252971172332764
James Lankford,Republicanos,0.22480113804340363
Jeanne Shaheen,Democratas,-0.13396507501602173
Jeff Flake,Republicanos,0.13864067196846008
Jeff Merkley,Democratas,-0.7098745107650757
Jefferson Sessions,Republicanos,0.24584215879440308
Jerry Moran,Republicanos,0.3588043749332428
Joe Donnelly,Democratas,-0.03215287998318672
Joe Manchin,Democratas,-0.3597263693809509
John Barrasso,Republicanos,0.6168339252471924
John Boozman,Republicanos,0.2536245584487915
John Cornyn,Republicanos,0.38205093145370483
John Hoeven,Republicanos,0.5700773596763611
John Isakson,Republicanos,0.13629050552845
John Mccain,Republicanos,0.10967156291007996
John Reed,Democratas,-0.384504109621048
John Thune,Republicanos,0.3781052231788635
Jon Tester,Democratas,-0.11234238743782043
Joni Ernst,Republicanos,0.27300912141799927
Kelly Ayotte,Republicanos,0.11030367016792297
Kirsten Gillibrand,Democratas,-0.25271469354629517
Lamar Alexander,Republicanos,0.24937333166599274
Lindsey Graham,Republicanos,0.09151586145162582
Lisa Murkowski,Republicanos,0.16997011005878448
Marco Rubio,Republicanos,0.2611478865146637
Maria Cantwell,Democratas,-0.19204586744308472
Mark Kirk,Republicanos,-0.024693261831998825
Mark Warner,Democratas,0.05176775902509689
Martin Heinrich,Democratas,-0.06781767308712006
Mazie Hirono,Democratas,-0.3176164925098419
Michael Bennet,Democratas,-0.16182400286197662
Michael Crapo,Republicanos,0.09322159737348557
Michael Enzi,Republicanos,0.4302671551704407
Mike Lee,Republicanos,0.18317116796970367
Mike Rounds,Republicanos,0.24745510518550873
Mitch Mcconnell,Republicanos,0.4383722245693207
Orrin Hatch,Republicanos,0.3907589614391327
Pat Roberts,Republicanos,0.3482751250267029
Patrick Leahy,Democratas,-0.2419152706861496
Patrick Toomey,Republicanos,0.3247877359390259
Patty Murray,Democratas,-0.43569231033325195
Rand Paul,Republicanos,-0.6464690566062927
Richard Blumenthal,Democratas,-0.31791454553604126
Richard Burr,Republicanos,0.07143313437700272
Richard Durbin,Democratas,-0.46939462423324585
Richard Shelby,Republicanos,0.11389797925949097
Robert Casey,Democratas,-0.15492938458919525
Robert Menendez,Democratas,-0.2597978413105011
Robert Portman,Republicanos,0.2521193027496338
Roger Wicker,Republicanos,0.21875713765621185
Ron Johnson,Republicanos,0.2936544716358185
Ron Wyden,Democratas,-0.15255150198936462
Roy Blunt,Republicanos,0.2714778482913971
Sheldon Whitehouse,Democratas,0.005578076466917992
Shelley Capito,Republicanos,0.2944222390651703
Sherrod Brown,Democratas,-0.41367560625076294
Steve Daines,Republicanos,0.25503233075141907
Susan Collins,Republicanos,0.05143369361758232
Tammy Baldwin,Democratas,-0.28062742948532104
Ted Cruz,Republicanos,0.511553943157196
Thad Cochran,Republicanos,0.25123369693756104
Thom Tillis,Republicanos,0.175418883562088
Thomas Carper,Democratas,-0.06974612176418304
Tim Scott,Republicanos,-0.08663710951805115
Timothy Kaine,Democratas,-0.16824881732463837
Tom Cotton,Republicanos,0.2641359269618988
Tom Udall,Democratas,-0.33980241417884827
