Senador(a),Filiação,Ponto Ideal
Addison Mcconnell,Republicanos,1.1625860929489136
Al Franken,Democratas,-3.70943546295166
Amy Klobuchar,Democratas,-2.1744143962860107
Angus King,Independente,-1.4878202676773071
Barack Obama,Democratas,-1.7548418045043945
Barbara Boxer,Democratas,-3.6587963104248047
Barbara Mikulski,Democratas,-3.1029868125915527
Benjamin Cardin,Democratas,-3.0673227310180664
Benjamin Sasse,Republicanos,3.166031837463379
Bernard Sanders,Independente,-3.1643028259277344
Bill Cassidy,Republicanos,1.992974877357483
Brian Schatz,Democratas,-3.2389042377471924
Charles Grassley,Republicanos,1.9967873096466064
Charles Roberts,Republicanos,2.231060028076172
Charles Schumer,Democratas,-3.318740129470825
Christopher Coons,Democratas,-2.5572729110717773
Christopher Murphy,Democratas,-3.0398483276367188
Claire Mccaskill,Democratas,-1.1884181499481201
Clarence Nelson,Democratas,-2.1242926120758057
Cory Booker,Democratas,-3.9958481788635254
Cory Gardner,Republicanos,1.3904763460159302
Daniel Coats,Republicanos,2.0214922428131104
Daniel Sullivan,Republicanos,1.9460068941116333
David Perdue,Republicanos,2.423854351043701
David Vitter,Republicanos,2.5392541885375977
Dean Heller,Republicanos,1.0906983613967896
Deborah Stabenow,Democratas,-2.5895824432373047
Debra Fischer,Republicanos,2.4743058681488037
Dianne Feinstein,Democratas,-2.097346305847168
Edward Markey,Democratas,-4.836877346038818
Elizabeth Warren,Democratas,-5.029457092285156
Gary Peters,Democratas,-2.576690435409546
Harry Reid,Democratas,-4.035751819610596
James Inhofe,Republicanos,2.7035579681396484
James Lankford,Republicanos,2.3936705589294434
James Risch,Republicanos,3.377448320388794
Jeanne Shaheen,Democratas,-2.3133344650268555
Jeff Flake,Republicanos,1.64385187625885
Jeff Merkley,Democratas,-4.630007743835449
Jefferson Sessions,Republicanos,2.7625386714935303
Jerry Moran,Republicanos,2.2463765144348145
Joe Donnelly,Democratas,-0.662824273109436
"Joe, Manchin",Democratas,-0.3895871341228485
John Barrasso,Republicanos,2.296192169189453
John Boozman,Republicanos,2.467865228652954
John Cornyn,Republicanos,1.882731318473816
John Hoeven,Republicanos,1.8005213737487793
John Mccain,Republicanos,1.573290467262268
John Reed,Democratas,-3.50234317779541
John Thune,Republicanos,1.8395335674285889
Johnny Isakson,Republicanos,1.8131345510482788
Jon Tester,Democratas,-1.5211925506591797
Joni Ernst,Republicanos,2.3020572662353516
Kelly Ayotte,Republicanos,0.5184371471405029
Kirsten Gillibrand,Democratas,-4.39008092880249
Lamar Alexander,Republicanos,0.9506424069404602
Lindsey Graham,Republicanos,0.9629422426223755
Lisa Murkowski,Republicanos,0.8172488212585449
Marco Rubio,Republicanos,2.3712620735168457
Maria Cantwell,Democratas,-2.631279230117798
Marion Rounds,Republicanos,1.576904058456421
Mark Kirk,Republicanos,0.4325776696205139
Mark Warner,Democratas,-1.511456847190857
Martin Heinrich,Democratas,-2.7812576293945312
Mary Heitkamp,Democratas,-0.7012001872062683
Mazie Hirono,Democratas,-3.831493616104126
Michael Bennet,Democratas,-1.5367721319198608
Michael Crapo,Republicanos,3.101818799972534
Michael Enzi,Republicanos,2.1091928482055664
Mike Lee,Republicanos,2.1133174896240234
Orrin Hatch,Republicanos,1.5029810667037964
Patrick Leahy,Democratas,-3.9533326625823975
Patrick Toomey,Republicanos,2.1390950679779053
Patty Murray,Democratas,-2.620377540588379
Rafael Cruz,Republicanos,1.9266221523284912
Rand Paul,Republicanos,1.5116478204727173
Richard Blumenthal,Democratas,-2.899719476699829
Richard Burr,Republicanos,1.5229533910751343
Richard Durbin,Democratas,-3.5381665229797363
Richard Shelby,Republicanos,2.8944056034088135
Robert Casey,Democratas,-1.8636704683303833
Robert Corker,Republicanos,1.4196414947509766
Robert Menendez,Democratas,-2.6745429039001465
Robert Portman,Republicanos,0.9772194027900696
Roger Wicker,Republicanos,1.9757916927337646
Ron Johnson,Republicanos,1.7313951253890991
Ronald Wyden,Democratas,-2.941498041152954
Roy Blunt,Republicanos,2.06166934967041
Sheldon Whitehouse,Democratas,-3.052826166152954
Shelley Capito,Republicanos,1.263014554977417
Sherrod Brown,Democratas,-4.133939743041992
Steve Daines,Republicanos,2.2350239753723145
Susan Collins,Republicanos,0.17476074397563934
Tammy Baldwin,Democratas,-3.227426767349243
Thomas Carper,Democratas,-1.6161127090454102
Thomas Tillis,Republicanos,1.7864317893981934
Thomas Udall,Democratas,-3.185957670211792
Tim Scott,Republicanos,2.826847791671753
Timothy Kaine,Democratas,-1.8210179805755615
Tom Cotton,Republicanos,3.1334598064422607
William Cochran,Republicanos,1.370349645614624
